IF,CEP,CEP_numeros,UF,Município,latitude,longitude,Instituicao
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO ACRE","Rio Branco, AC. CEP: 69900-640.",69900640,AC,Rio Branco,-9.97499,-67.8243,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO ACRE"
CAMPUS AVANÇADO RIO BRANCO BAIXADA DO SOL,"Rio Branco, AC. CEP: 69911-030.",69911030,AC,Rio Branco,-9.97499,-67.8243,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO ACRE"
CAMPUS CRUZEIRO DO SUL,"Cruzeiro do Sul, AC. CEP: 69980-000.",69980000,AC,Cruzeiro do Sul,-7.62762,-72.6756,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO ACRE"
CAMPUS RIO BRANCO,"Rio Branco, AC. CEP: 69914-610.",69914610,AC,Rio Branco,-9.97499,-67.8243,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO ACRE"
CAMPUS SENA MADUREIRA,"Sena Madureira, AC. CEP: 69940-970.",69940970,AC,Sena Madureira,-9.06596,-68.6571,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO ACRE"
CAMPUS TARAUACÁ,"Tarauacá, AC. CEP: 69970-000.",69970000,AC,Tarauacá,-8.15697,-70.7722,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO ACRE"
CAMPUS XAPURI,"Xapuri, AC. CEP: 69930-000.",69930000,AC,Xapuri,-10.6516,-68.4969,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO ACRE"
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE ALAGOAS","Maceió, AL. CEP: 57035-350.",57035350,AL,Maceió,-9.66599,-35735,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE ALAGOAS"
CAMPUS ARAPIRACA,"Arapiraca, AL. CEP: 57302-045.",57302045,AL,Arapiraca,-9.75487,-36.6615,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE ALAGOAS"
CAMPUS AVANÇADO MACEIÓ BENEDITO BENTES,"Maceió, AL. CEP: 57084-651.",57084651,AL,Maceió,-9.66599,-35735,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE ALAGOAS"
CAMPUS BATALHA,"Batalha, AL. CEP: 57420-000.",57420000,AL,Batalha,-9.6742,-37133,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE ALAGOAS"
CAMPUS CORURIPE,"Coruripe, AL. CEP: 57230-000.",57230000,AL,Coruripe,-10.1276,-36.1717,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE ALAGOAS"
CAMPUS MACEIÓ,"Maceió, AL. CEP: 57020-600.",57020600,AL,Maceió,-9.66599,-35735,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE ALAGOAS"
CAMPUS MARAGOGI,"Maragogi, AL. CEP: 57955-000.",57955000,AL,Maragogi,-9.00744,-35.2267,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE ALAGOAS"
CAMPUS MARECHAL DEODORO,"Marechal Deodoro, AL. CEP: 57160-000.",57160000,AL,Marechal Deodoro,-9.70971,-35.8967,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE ALAGOAS"
CAMPUS MURICI,"Murici, AL. CEP: 57820-000.",57820000,AL,Murici,-9.30682,-35.9428,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE ALAGOAS"
CAMPUS PALMEIRA DOS ÍNDIOS,"Palmeira dos Índios, AL. CEP: 57601-220.",57601220,AL,Palmeira dos Índios,-9.40568,-36.6328,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE ALAGOAS"
CAMPUS PENEDO,"Penedo, AL. CEP: 57200-000.",57200000,AL,Penedo,-10.2874,-36.5819,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE ALAGOAS"
